DATA:  SoHO/GOLF (Solar velocity)
----------------------------------
      Time(sec)    Vel(m/s)
----------------------------------
      970240.      4.55696
      970320.      4.08660
      970400.      2.58020
      970480.      3.43301
      970560.      3.33893
      970640.      4.88107
      970720.      3.24238
      970800.      1.02550
      970880.      4.90649
      970960.      5.27293
      971040.      4.48127
      971120.      1.91354
      971200.      5.73474
      971280.      5.64060
      971360.      2.25803
      971440.      3.06097
      971520.      6.17232
      971600.      5.00615
      971680.      1.89512
      971760.      4.54126
      971840.      5.52005
      971920.      2.96482
      972000.      4.08327
      972080.      3.75089
      972160.      2.46996
      972240.      5.36166
      972320.      4.89080
      972400.      3.86953
      972480.      3.08395
      972560.      4.36219
      972640.      3.93237
      972720.      3.21295
      972800.      4.75198
      972880.      4.21956
      972960.      4.82756
      973040.      3.73511
      973120.      4.42327
      973200.      4.44096
      973280.      5.06409
      973360.      5.20129
      973440.      5.08747
      973520.      3.53773
      973600.      5.35107
      973680.      6.31648
      973760.      3.34607
      973840.      2.74875
      973920.      4.06474
      974000.      6.43954
      974080.      3.95423
      974160.     0.547833
      974240.      4.55303
      974320.      5.96936
      974400.      2.32261
      974480.      2.05946
      974560.      6.77996
      974640.      3.04397
      974720.      1.35779
      974800.      4.60605
      974880.      4.90990
      974960.      1.97078
      975040.      4.06368
      975120.      6.26420
      975200.      3.47573
      975280.      2.19774
      975360.      3.34320
      975440.      4.85018
      975520.      3.90892
      975600.      1.51560
      975680.      4.46810
      975760.      5.75263
      975840.      2.56587
      975920.      2.87951
      976000.      4.53915
      976080.      4.88669
      976160.      2.31705
      976240.      2.96013
      976320.      4.73541
      976400.      4.10900
      976480.      3.20576
      976560.      4.98178
      976640.      4.48638
      976720.      2.51389
      976800.      3.68753
      976880.      3.71606
      976960.      4.57621
      977040.      3.08288
      977120.      3.89723
      977200.      5.71168
      977280.      2.72766
      977360.      2.55890
      977440.      4.45214
      977520.      2.11396
      977600.      2.49741
      977680.      4.96326
      977760.      3.13512
      977840.      1.90724
      977920.      5.13485
      978000.      3.80257
      978080.      2.81478
      978160.      4.37451
      978240.      4.55370
      978320.      2.78113
      978400.      2.56346
      978480.      3.66899
      978560.      3.45389
      978640.      1.63222
      978720.      4.35773
      978800.      3.97184
      978880.      1.57324
      978960.      3.92398
      979040.      4.08652
      979120.      2.21702
      979200.      1.64421
      979280.      3.03372
      979360.      3.08534
      979440.      2.12413
      979520.     0.605350
      979600.      3.34131
      979680.      3.16959
      979760.      2.08926
      979840.      3.33877
      979920.      1.74082
      980000.      3.26380
      980080.      2.57021
      980160.      1.24318
      980240.      1.48047
      980320.      4.64730
      980400.      2.84702
      980480.     0.808476
      980560.      1.71142
      980640.      3.22809
      980720.      2.50841
      980800.      2.39309
      980880.      3.41776
      980960.      1.48854
      981040.      2.21456
      981120.      3.20175
      981200.      2.20502
      981280.      1.93623
      981360.      3.24135
      981440.      2.61751
      981520.      3.86310
      981600.      3.87745
      981680.      4.46660
      981760.      2.84326
      981840.      3.65073
      981920.      3.87331
      982000.      2.07402
      982080.      4.59537
      982160.      2.45771
      982240.      1.67157
      982320.      4.15087
      982400.      3.58602
      982480.      2.88420
      982560.      3.15204
      982640.      2.91188
      982720.      3.43838
      982800.      2.36354
      982880.      1.83337
      982960.      4.10102
      983040.      4.86940
      983120.      3.56774
      983200.      3.68359
      983280.      3.43488
      983360.      4.76615
      983440.      4.84863
      983520.      2.71087
      983600.      4.21255
      983680.      5.66456
      983760.      2.76998
      983840.      3.56366
      983920.      5.13488
      984000.      4.10959
      984080.      2.73441
      984160.      4.12046
      984240.      4.12059
      984320.      1.91740
      984400.      2.84482
      984480.      5.26172
      984560.      2.84684
      984640.      2.31702
      984720.      2.97600
      984800.      4.58394
      984880.      3.91827
      984960.      2.33858
      985040.      4.95563
      985120.      5.96073
      985200.      3.30170
      985280.      3.42784
      985360.      3.73870
      985440.      4.38152
      985520.      4.58419
      985600.      3.39909
      985680.      4.23384
      985760.      5.09109
      985840.      5.38751
      985920.      1.15963
      986000.      3.08032
      986080.      5.78758
      986160.      2.55682
      986240.     0.844639
      986320.      5.42573
      986400.      5.68894
      986480.      1.80698
      986560.      3.77026
      986640.      4.54983
      986720.      4.35956
      986800.      4.89469
      986880.      3.00329
      986960.      4.00300
      987040.      4.19100
      987120.      4.17928
      987200.      3.16440
      987280.      2.29688
      987360.      3.91036
      987440.      4.55113
      987520.      2.53458
      987600.      3.70005
      987680.      4.23834
      987760.      3.29732
      987840.      3.21802
      987920.      5.06031
      988000.      4.50653
      988080.      2.03033
      988160.      3.11414
      988240.      3.97661
      988320.      3.02414
      988400.      1.81432
      988480.      4.26301
      988560.      4.43122
      988640.      1.78543
      988720.      1.87796
      988800.      4.16924
      988880.      5.67851
      988960.      3.25353
      989040.      1.81044
      989120.      5.20450
      989200.      4.91023
      989280.      3.02938
      989360.      3.34038
      989440.      3.56722
      989520.      4.58307
      989600.      4.95262
      989680.      4.72223
      989760.      4.76958
      989840.      3.28868
      989920.      4.65570
      990000.      5.46559
      990080.      3.47757
      990160.      2.60815
      990240.      5.82869
      990320.      4.23546
      990400.      1.60504
      990480.      3.08658
      990560.      4.36563
      990640.      2.95531
      990720.      1.19129
      990800.      3.32471
      990880.      4.38050
      990960.      1.59197
      991040.   -0.0741130
      991120.      5.29071
      991200.      5.09742
      991280.      1.21206
      991360.      3.03271
      991440.      4.19005
      991520.      3.81934
      991600.      2.14635
      991680.      2.19929
      991760.      5.91754
      991840.      3.26808
      991920.      3.07947
      992000.      3.89687
      992080.      3.26132
      992160.      4.35026
      992240.      4.18533
      992320.      2.80401
      992400.     0.814472
      992480.      4.08994
      992560.      3.86918
      992640.      2.25981
      992720.      2.36857
      992800.      3.77127
      992880.      4.06617
      992960.      3.24881
      993040.      2.68599
      993120.      2.23474
      993200.      2.84689
      993280.      3.47275
      993360.      2.14961
      993440.      2.41453
      993520.      5.53342
      993600.      3.58361
      993680.      1.86524
      993760.      4.38683
      993840.      4.73372
      993920.      3.35429
      994000.      3.50659
      994080.      3.67376
      994160.      4.29092
      994240.      3.96792
      994320.      3.99893
      994400.      1.62282
      994480.      2.78381
      994560.      2.82460
      994640.      2.29828
      994720.      2.95358
      994800.      1.75473
      994880.      2.14960
      994960.      4.06673
      995040.      2.10852
      995120.      3.38600
      995200.      5.03576
      995280.      1.80678
      995360.      2.34313
      995440.      4.36262
      995520.      2.83468
      995600.      1.97948
      995680.      1.93687
      995760.      2.65301
      995840.      2.54810
      995920.      2.98508
      996000.      4.67462
      996080.      2.77965
      996160.      1.00042
      996240.      4.13655
      996320.      3.61256
      996400.      3.04735
      996480.      4.00824
      996560.      3.19871
      996640.      3.77548
