HK/   AAT og VLT:
Raw weights
                                                                                
8182 data points:
0001-5169  (5169 data points)   AAT/UCLES i Australien
5179-8182  (3013 data points)   VLT/UVES (ESO) i Chile
                                                                                
    Time (sec)    Data(m/s)    sigma(m/s)
-------------------------------------------
      255198.      3.54496      2.20422
      255223.      5.30342      1.83682
      255248.      4.01914      1.83645
      255273.      2.33344      1.55326
      255299.      1.11797      1.41628
      255324.      2.63690      2.03462
      255349.    0.0335300      2.88694
      255374.     -1.49868      1.88760
      255400.     0.505350      1.52408
      255425.    -0.457310      1.87648
      255451.     0.510480      1.75572
      255476.      2.23803      1.73169
      255501.     0.696460      2.07011
      255524.      1.56169      1.62232
      255548.   -0.0437000      2.05162
      255571.      1.89628      1.57619
      255594.      5.75629      1.90877
      255618.      4.33717      1.95979
      255641.      3.43798      2.19418
      255664.     0.429980      1.88679
      255688.      3.80482      2.44036
      255711.     -3.73148      2.51905
      255734.      5.94084      3.14019
      255758.     -2.45472      2.37085
      255783.     0.593630      2.47755
      255808.     -3.29418      1.97516
      255834.      1.70698      2.04683
      255859.      3.61497      2.37295
      255884.     0.696230      2.10310
      255910.      1.10919      3.14345
      255935.      1.00686      3.19370
      255961.     -2.87697      3.07566
      256454.      5.65276      2.34754
      256844.      5.39617      2.60130
      256925.     -1.70298      2.55210
      257292.     0.943380      3.08689
      257336.    -0.179290      2.46553
      257638.      1.81601      2.83287
      345445.     -3.01788      1.70549
      345464.      2.87747      1.79863
      345485.     -2.57540      1.96445
      345506.   -0.0176600      1.72640
      345527.    -0.918590      1.75037
      345545.     -1.37222      1.72371
      345564.    -0.177880      1.57514
      345583.     0.619500      1.69076
      345601.     -1.04680      1.76428
      345620.     -1.86676      1.60683
      345638.     -3.45385      1.67813
      345657.     -2.60696      1.69329
      345675.     0.973350      1.50377
      345693.     -1.50449      1.70694
      345711.     -6.10741      1.97611
      345731.     -1.04864      1.72363
      345752.    -0.143080      1.70392
      345771.    0.0805300      1.80906
      345788.     0.364820      1.87272
      345806.     -1.34816      1.69166
      345824.      1.19629      1.64982
      345843.     0.339150      1.82746
      345861.     0.946700      1.66657
      345881.    -0.468840      1.73333
      345899.     -3.11441      1.76874
      345917.     0.434320      1.62984
      345935.     -3.26509      1.73516
      345952.      1.57961      1.67582
      345970.    -0.266630      1.77903
      345989.     -1.64907      1.58174
      346007.    -0.492500      1.52903
      346026.     -1.25030      1.70130
      346045.     -1.15893      1.66849
      346063.    -0.582970      1.58588
      346082.     -4.68344      1.87180
      346101.     -1.28648      1.68630
      346120.     -2.29217      1.50870
      346137.     -2.73871      1.67472
      346156.     -2.55328      1.64151
      346175.      2.01652      1.76141
      346194.     -1.38819      1.62119
      346213.     -2.94956      1.75564
      346231.     0.634450      1.72048
      346251.      2.47695      1.74238
      346269.      1.15689      1.56555
      346287.      3.39444      1.70095
      346304.     0.917130      1.73863
      346322.      1.10108      1.70093
      346340.    -0.449100      1.79967
      346358.      4.28897      1.63098
      346378.    -0.454000      1.43856
      346396.     -2.81133      1.83290
      346413.    -0.799490      1.72431
      346434.    -0.404440      1.53930
      346454.     -2.55595      1.54727
      346471.      1.09457      1.77770
      346492.     -2.68807      1.66527
      346509.     -2.30061      1.60332
      346529.    -0.941800      1.65172
      346547.  -0.00336000      1.96477
      346566.     0.806830      1.78617
      346585.     -2.15424      1.66318
      346606.    -0.437530      1.90479
      346624.     -1.14806      1.78404
      346642.      2.59793      1.88441
      346664.      2.92057      2.00884
      346685.      6.21963      1.96646
      346706.    -0.449210      1.77797
      346728.    -0.506340      1.71965
      346746.      2.97458      1.90862
      346766.      5.04183      1.93627
      346787.      1.27244      1.68605
      346808.      2.14793      1.86150
      346829.    -0.242850      1.80960
      346850.     -1.10375      1.60911
      346871.    -0.673890      1.86825
      346891.     -1.36534      1.86790
      346911.     -1.80679      1.76346
      346932.     -2.29542      1.62268
      346951.    -0.589250      1.57006
      346969.    -0.920770      1.53079
      346988.     -1.04172      1.42534
      347007.      1.17684      1.53735
      347026.      2.59953      1.31624
      347045.      2.50619      1.67513
      347064.    -0.493810      1.66238
      347083.     -2.26973      1.74959
      347101.     0.661990      1.64897
      347119.      1.13098      1.53138
      347138.      1.82011      1.72552
      347157.    -0.318620      1.64090
      347175.     -2.12502      1.82430
      347194.     -2.78006      1.78742
      347216.     -2.91575      1.83682
      347237.     -3.28859      1.89259
      347259.     -1.23453      1.62305
      347278.      1.16985      1.61530
      347296.      2.53923      1.94086
      347315.     0.255060      1.63328
      347337.      4.19037      1.95585
      347355.      3.11282      1.76204
      347375.      4.22402      1.77985
      347394.     0.132810      1.73101
      347414.      2.90692      1.72898
      347432.     -2.30584      1.82802
      347451.    -0.353340      1.70558
      347470.      1.09074      1.86503
      347489.      3.94752      1.97994
      347508.      1.63499      1.75853
      347528.     -2.41845      1.64370
      347548.     -2.04555      1.64168
      347567.     -1.67252      1.66681
      347586.     -1.14980      1.71827
      347605.     -3.36288      1.55897
      347624.     -3.98760      1.61179
      347642.     -1.84013      1.60062
      347664.     -3.77281      1.78135
      347682.     -5.09008      2.06080
      347701.     0.793210      1.56371
      347720.      2.76829      2.04348
      347737.      4.13769      1.67879
      347755.     0.165510      2.05069
      347774.    -0.952720      1.82004
      347795.      2.37586      1.52067
      347813.      2.78761      1.62503
      347833.    -0.188220      1.70692
      347852.      1.26510      1.61808
      347871.     0.154170      1.65128
      347889.     0.808560      1.80204
      347907.    -0.347010      1.65810
      347929.     -3.54574      1.87995
      347947.     -2.56173      1.73671
      347965.     -1.44883      1.68728
      347984.     -1.99162      1.72807
      348005.     -1.09117      1.66776
      348026.     0.413170      1.73255
      348048.     -3.06522      1.71558
      348066.      1.46707      1.74721
      348084.      2.95684      1.76091
      348103.     -1.11481      1.73527
      348125.     -1.89673      1.88010
      348142.    -0.274920      1.85994
      348161.      2.54572      1.73502
      348182.    -0.721220      1.82602
      348204.     0.211280      1.71073
      348222.      1.87252      1.86858
      348241.    -0.350950      1.74466
      348260.     -2.88237      1.80404
      348281.     0.344610      1.92549
      348302.     -1.24554      2.00295
      348320.     0.176730      1.78546
      348340.     -4.98400      2.03178
      348359.    -0.340970      1.84873
      348376.     -1.50279      1.50007
      348396.      2.37049      2.12568
      348414.    -0.525310      1.77909
      348435.      1.60209      1.66999
      348453.     -1.40099      1.79290
      348471.     -1.35132      2.02355
      348492.    -0.714700      1.70179
      348513.     -2.70503      1.84969
      348531.      3.76645      1.99143
      348550.      1.64689      2.00149
      348571.     -1.97316      1.90983
      348593.    -0.150360      1.87383
      348614.    0.0976200      1.92622
      348632.     0.312680      1.90944
      348653.      2.25693      1.72561
      348674.      1.87306      1.61499
      348692.     -3.61402      2.04981
      348712.    0.0605300      1.72782
      348732.     0.404010      1.68629
      348753.      1.49649      1.79343
      348775.      1.94494      1.77739
      348796.    -0.782410      1.85213
      348817.     -3.69873      1.91679
      348838.    -0.241070      1.75461
      348860.     -1.17109      1.70369
      348878.    -0.749620      1.74803
      348897.     -2.21460      2.13597
      348917.      3.43088      1.74800
      348936.      3.52798      2.00220
      348955.      3.85743      1.86414
      348973.     -1.56495      1.85021
      348993.     0.498800      2.09813
      349013.      1.93309      1.81215
      349032.    -0.228570      1.83709
      349051.     0.982180      1.94126
      349071.     0.544420      1.88730
      349092.     0.408710      1.83343
      349113.    -0.207380      1.67037
      349134.     -2.42192      2.08910
      349156.    -0.753280      2.12153
      349177.     0.485500      1.77707
      349197.     0.460750      1.78279
      349219.     0.833600      1.63081
      349237.      1.45789      1.87281
      349255.     -2.49473      1.87992
      349273.      3.02163      2.23356
      349294.     0.404760      1.82409
      349315.      3.24240      1.77144
      349332.      1.67233      1.74201
      349352.   0.00239000      1.72906
      349373.    -0.550040      2.02374
      349394.     -3.21829      1.75213
      349415.     -3.94158      1.69987
      349437.     0.335450      1.71589
      349456.     -2.38859      1.77549
      349475.     -2.48570      1.77615
      349494.     -4.66507      1.84711
      349513.      3.53245      2.00786
      349533.     -1.30345      1.72788
      349555.      1.04844      2.08173
      349573.      1.61034      1.84721
      349593.     -1.12726      1.85312
      349612.      1.05922      1.85662
      349631.      3.02996      1.77940
      349651.      3.78589      1.95862
      349672.     0.288450      1.96568
      349693.     -3.04856      1.97915
      349714.      5.59345      2.20855
      349733.   -0.0361700      1.46880
      349752.      1.88664      2.03840
      349770.      2.33203      2.02578
      349790.   -0.0401500      1.73930
      349808.     -3.28707      1.93973
      349827.     -1.87392      1.62839
      349848.    -0.533400      1.85785
      349870.      2.57741      2.05611
      349889.     -3.57601      1.75715
      349907.     -3.09972      1.85270
      349925.    -0.247230      1.97529
      349943.    -0.411900      1.62458
      349965.     0.997340      1.71932
      349984.     -1.07749      1.83893
      350004.     0.618580      1.76526
      350024.      1.15446      1.74902
      350043.   -0.0190700      1.77640
      350061.      1.26503      1.61291
      350082.     0.637170      1.66329
      350103.    -0.227450      1.61388
      350122.     0.595100      1.87046
      350141.     -1.49636      1.66749
      350159.      5.52335      2.19205
      350180.      2.61915      1.90819
      350200.    -0.387090      1.54797
      350219.    -0.752470      1.66843
      350236.     0.106450      2.06395
      350255.     -1.11460      1.84319
      350274.     -4.88009      1.95722
      350291.      1.18054      1.69647
      350313.     0.773420      1.85839
      350334.     -3.06375      1.77889
      350354.     -1.91684      1.74323
      350373.    -0.141910      1.70019
      350390.    -0.171630      1.74172
      350410.     -2.09837      1.73327
      350428.    -0.435920      1.91617
      350448.     0.239370      1.64953
      350469.     -2.06979      1.47052
      350487.     0.971460      1.79048
      350508.      5.32028      2.23032
      350528.      2.19011      1.73687
      350550.      2.39273      1.84478
      350569.    -0.784950      1.88305
      350587.     0.714920      1.89350
      350608.      1.73511      1.84077
      350627.     -1.00739      1.60556
      350646.      1.27658      1.83769
      350663.     -3.20115      1.75750
      350681.     -1.88374      1.84814
      350701.      1.30210      1.98584
      350722.      1.10419      1.78543
      350743.     -3.77075      1.86476
      350761.     -6.83676      1.95698
      350779.     -3.94198      1.83192
      350796.     -4.09574      1.72567
      350818.     -3.95663      1.70213
      350835.     0.101150      1.84469
      350857.    -0.547210      1.63565
      350878.     -2.96489      1.89985
      350899.      2.94264      1.89828
      350917.     -1.84307      1.85035
      350935.     -1.36174      1.66181
      350954.      2.90784      1.92450
      350973.    -0.906480      1.98172
      350991.      3.85297      1.67496
      351010.      1.55674      1.80908
      351028.     -2.37979      1.72494
      351047.    -0.602720      1.59853
      351065.     -2.75990      1.82088
      351083.     -2.65616      1.81016
      351102.     -2.49696      2.04986
      351120.     -2.14472      1.77785
      351139.     -2.23721      1.85170
      351160.     -4.90691      1.63556
      351181.    -0.733770      2.02323
      351202.     -2.97519      1.57883
      351223.    -0.635000      1.74412
      351242.     -2.57625      1.53598
      351261.     -3.09367      1.69132
      351279.    -0.140640      1.93733
      351301.    -0.295910      2.20591
      351318.     -1.26512      1.61060
      351336.     -4.05057      1.77591
      351354.     -1.51875      1.98044
      351372.    -0.354520      1.96829
      351393.      1.02658      1.89780
      351412.      4.69890      2.28383
      351431.     0.754030      1.72163
      351452.     -1.37913      1.89933
      351473.    -0.728690      1.70854
      351494.    -0.388020      1.78638
      351512.     0.245160      2.03005
      351532.    -0.243630      1.87232
      351553.     -1.68140      1.75985
      351574.     -3.39104      2.03632
      351595.    -0.796260      1.66986
      351616.     0.109200      2.00565
      351637.     0.590710      2.02352
      351659.     -2.21120      1.98578
      351680.     -1.76659      1.79131
      351701.     -3.40024      1.91157
      351722.     -7.05240      2.51613
      351743.     -4.16780      1.87689
      351760.    -0.835470      1.74053
      351781.     -1.48443      1.54314
      351802.     -2.76998      1.88254
      351820.     -1.55507      1.76157
      351838.     -3.90370      2.01843
      351859.     -1.30566      1.84136
      351881.    -0.263870      1.73015
      351902.    -0.457820      1.77934
      351919.    0.0562900      1.83671
      351937.     0.959000      1.65849
      351957.      4.73118      2.00351
      351978.     0.727240      1.55519
      351999.     -1.15251      1.66154
      352020.    -0.384830      1.56175
      352038.    -0.976240      1.78481
      352056.    0.0320500      1.68280
      352075.      2.54918      1.80544
      352093.     -1.57432      1.75624
      352111.      1.29538      1.55769
      352130.     -3.81669      1.88463
      352149.     -4.32824      1.68569
      352168.    -0.507180      2.01356
      352186.     -2.25882      1.69685
